,movie_id,year,synopsis,genres
49,49,2013,"Trapped inside his car by a mudslide, smooth talking Jackson Alder suddenly finds himself in a situation he can't talk his way out of. With no hope of rescue, he must defy the odds; battling Mother Nature for his survival.",Thriller
50,50,2010,"Set in the world of New York City's elite private kindergartens, The Best and the Brightest centers on a fresh-faced young couple, Samantha and Jeff, who have only recently  moved into town. The comedy centers on their dawning realization of the lengths they must go to in order to get their five-year-old daughter into school.",Comedy
51,51,1949,"The French Surete and private eye Higgins are after a killer who uses innocent young Americans in a crooked gambling racket, and who sets sail on an ocean liner that also carries inept scoutmaster Freddie Hunter and his troop of boys. Freddie, who's been a ""boy scout"" too long, has designs on gorgeous Duchess Alexandria. The boys, far better organized than Freddie, are determined to save him from himself. But who will save Freddie from being the killer's next victim?",Comedy
52,52,1996,"When you're the city attorney you don't need the kinds of problems that her father was giving her. After her mother died, her father began doing his ""Santa Schick,"" as she called it, much more intensely... which meant that he turned his home into a kind of year-round Santa Claus castle where children of all ages could come to see the wonderful presents and no child ever left without a gift.",Drama
53,53,1965,"The story of a small-town football star, who defies society, morals and his God and gets into so much trouble that he is expelled from school. Told in flashbacks, usually in confession to the priest, Chris sets the tone early in the opening scene where he screams oaths before the altar and smashes a religious statue in a blind rage. Whether this is before or after a 14-year-old sexpot, Joan Meyers, corners him in the church choir-loft or when the parents of a pleasure-seeking rich girl, Tury by name, catch him in bed with Tury.",Drama
54,54,1989,"People who dial 976-EVIL receive supernatural powers and turn into satanic killers. When Spike dialed 976-EVIL, he knew it was an expensive toll call, but he didn't know that he'd have to pay for it with his soul.",Horror
55,55,2001,"In a world filled with hatred, their only hope was magic. Believe and anything can happen.",Children Drama
56,56,1995,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but  as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",Drama Romance
57,57,2003,"When their bootlegging father ends up in jail, four twenty-something brothers need money to pay his debts to local crooks. Next, their 9-year-old half-sister is dumped on their doorstep by her prostitute mother. A karaoke set helps reveal that the little girl is quite a singer, just as a talent contest for children is coming up on national television offering more than enough money to the winner. If only the kid weren't so hopelessly shy...",Comedy
58,58,2007,"New Years Eve, 2004- Kevin Healy(Santos) and Tiffany Matthews(McCoy) head out to celebrate the New Year and a new beginning in their 7-year relationship. In the midst of the celebration the young couple decide to mark the occasion by experimenting with Crystal Meth. Unbeknown to them, town bad boy Randy Martin slips LSD in their drinks, setting into motion a night of life altering events which will leave one dead and the other forever scarred. The young couple leave the party and quickly begin to realize that they are not alone, or so they think. After a car accident the two run into the woods to escape their stalker, with  no protection from the elements. Attempts to call for help are futile when they realize that their cell phone signal is lost. Alone in the woods with the delusions of being chased the couple slowly begin to turn on each other.",Horror Thriller
59,59,2005,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon.",Horror Thriller
60,60,1973,"A white ex-GI goes to a black ghetto to deliver a letter from his buddy, a black soldier who died in Vietnam. When he arrives there  he encounters hostility and trouble from all sides.",Drama
61,61,1996,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.",Crime Drama Romance Thriller
62,62,1985,"A neo-Nazi organization is recruiting in the 1980s, and two youths of high-school age join for similar reasons, despite class differences. Thomas is the son of a self-made industrialist father and a scolding social-climbing mother. He attends private school and has a brother who's an accomplished musician, but neither can satisfy mom's constant demands for school and social success. She belittles them, and there's incessant bickering at their table. Charly, a dropout, is the son of an abusive, alcoholic laborer. In the youth group, each finds order, respect, camaraderie, and adults who seem to value them. Where do domestic abuse and sanctioned political violence end?",Drama
63,63,2018,A group of salacious students party aboard a luxury yacht only to turn on each other as a 9th PASSENGER picks them off one by  one.,Horror
64,64,2011,"A guarded woman who finds out she's dying of cancer but, when she meets her match, the threat of falling in love is scarier than death.",Comedy Drama Romance
65,65,1973,A lonely Navy sailor falls in love with a hooker and becomes a surrogate father figure for her son during an extended liberty due to his service records being lost.,Drama Romance
66,66,1985,Women who have been  captured and sold as slave labor to a South American emerald mine hatch a plan for revolution and revenge.,Action Drama
67,67,2010,"A documentary analyzing the furore which so-called ""video nasties"" caused in Britain during the 1980s.",Documentary
68,68,1979,"Girls' dance instructor Claudia Gambetti takes over the boy's gym class after gym teacher Martorelli  breaks both his legs owing to one of his student's pranks. Soon both teachers and students are interested in learning more of Claudia's athletic dance moves. Director Fiorontori has made some debts betting on horses and wants Claudia to win a disco competition to balance the school budget, too. When the boys team are invited to face off against their superior Russian counterparts, Claudia calls in her dancing girls to be used as a secret weapon.",Comedy
69,69,2017,"After taking a DNA test, Latin America's most decorated artist – René Pérez (AKA Residente) – embarks on a global adventure to trace the footsteps of his ancestors and record his latest album.",Documentary
70,70,2008,"A prep-school student accidentally films the drug-related deaths of two classmates, then is asked to put together a memorial video.",Drama
71,71,2003,"Nozomi and Lana share an apartment in Tokyo. They have both auditioned for the same role in a movie, and know that the shortlist has been cut down to just the two of them. As they wait the night before finding out who will get the role, their personality clashes erupt into an all-out battle.",Drama Horror Thriller
72,72,2012,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",Comedy Drama Romance
73,73,1967,"Tales of eleven losers are told and interwoven. Burt can't satisfy Angel, so she seeks the arms of another man, who is caught by Angel in the arms of another woman. Angel ends up with Justin, who ends up with a co-worker's wife. As Angel and Burt argue, a sorceress watches, and eventually seduces Burt while Angel gets to know Ray, who had previously chased a blonde girl down on the coast. You get the idea.",Crime Drama
74,74,1963,A doctor's already-shaky marriage is tested to an even greater extent when he has to contend with  a smallpox epidemic.,Drama
75,75,2003,The comedic stylings of four sort-of famous funnymen are brought to the big screen courtesy of this 2002 documentary.,Comedy Documentary
76,76,1993,Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.,Comedy
77,77,2001,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",Action
78,78,2012,"A former NCAA champion wrestler is paroled after 10 years in prison. Now, to save a friend's life, in a series of cage fights he must agree to do the impossible - lose.",Action Drama
79,79,2008,"The year was 1941, and the world was on the brink of war. In an effort to improve relations between the Americas, the Roosevelt administration called upon one of Hollywood’s most influential filmmakers to embark on a special goodwill tour. Written and directed by Theodore Thomas (“Frank and Ollie”) and produced by Kuniko Okubo, the documentary WALT &amp; EL GRUPO chronicles the amazing ten-week trip that Walt Disney and his hand-picked group of artists and filmmaking talent (later known as “El Grupo”) took to South America at the behest of the U.S. Government as part of the Good Neighbor Policy.",Documentary
80,80,1994,"Paul, an irritable and stressed-out hotel manager, begins to gradually develop paranoid delusions about his wife's infidelity...",Drama
81,81,2017,"After tragedy strikes Henry and Penny, he befriends a tenacious young girl and discovers she is constructing a raft to sail across the Atlantic to find her lost father. Together, along with some unlikely friends, they set forth to construct the vessel and subsequently rebuild their lives.",Drama
82,82,2004,"Set in 19th Century Canada, Brigette and her sister Ginger take refuge in a Traders' Fort which later becomes under siege by some savage werewolves. And an enigmatic Indian hunter decides to help the girls, but one of the girls has been bitten by a werewolf. Brigitte and Ginger may have no one to turn to but themselves.",Fantasy Horror
83,83,1971,"Giuseppe Di Noi, an Italian surveyor living in Switzerland, gets arrested at the border while going back to Italy with his family for a vacation. But can someone tell the man WHY?",Comedy Drama
84,84,2016,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",Comedy Drama
85,85,1981,"Trinity series star Bud Spencer returns to the Wild West in director Michele Lupo's comic tale of an outlaw drifter,  Buddy, who is mistaken for a doctor after his Indian companion inadvertently steals a bag of surgical instruments. When a band of murderous outlaws attempts to overrun the small town Buddy is passing through, the presumed medico shows that his true talent is cracking skulls. Music is composed by Ennio Morricone.",Comedy Western
86,86,2012,"In the year 1590, the mighty warlord Toyotomi Hideyoshi is close to fulfilling his ambition of unifying all of Japan under his banner when he comes across unexpected resistance in the form of a floating fortress known as Oshi Castle. Narita Nagachika, a frivolous hedonistic fellow and unlikely candidate for the position of rebel general, finds himself in charge of defending the castle. His odds? An army of 500 men to combat Toyotomi Hideyoshi's army of 20,000.",Comedy Drama
87,87,1970,"When a space probe crash-lands on a far-flung Pacific atoll, the craft's alien stowaways decide to take over their new world one creature at a time. Soon, the parasitic life forms latch onto three indigenous critters -- a squid, a crab and a snapping turtle -- and transform them into colossal mutant monsters.",Action Sci-Fi
88,88,2000,"One of the best Polish comedies of the late 1990's, ""Boys Don't Cry"" is a satirical look at the gangsters of Poland and some teens who accidentally get involved with them.",Comedy
89,89,1998,"Ambitious yakuza Kenji befriends harmonica-playing bartender Chuji, who moonlights as a part-time drug-dealer for the opposing gang. Their friendship is threatened by Kenji's plans for advancement, as well as by his bodyguards growing jealousy of Chuji.",Crime Drama
90,90,1958,"A drive-in favorite, this sci-fi classic follows teenagers Steve and his best girl, Jane, as they try to protect their hometown from a gelatinous alien life form that engulfs everything it touches. The first to discover the substance and live to tell about it, Steve and Jane witness the blob destroying an elderly man and grow to a terrifying size. But no one else has seen the goo, and policeman Dave refuses to believe the kids without proof.",Horror Sci-Fi
91,91,2015,A young married woman from Montreal's Orthodox Jewish community finds freedom from the strictures of her faith through her relationship with a young man who is mourning the death of his estranged father.,Children Drama Romance
92,92,2006,A murder opens up a bleak trail of long buried secrets and small town corruption for a worn out police detective and his squad.,Crime Drama Thriller
93,93,2000,A man prepares himself to be transferred to a detention center and rest home where he will relive one more time the highlights of his youth.,Crime Drama
94,94,1989,"Jessie is an aging career criminal who has been in more jails, fights, schemes, and lineups than just about anyone else. His son Vito, while currently on the straight and narrow, has had a fairly shady past and is indeed no stranger to illegal activity. They both have great hope for Adam, Vito's son and Jessie's grandson, who is bright, good-looking, and without a criminal past.",Comedy
95,95,2010,"A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual  discrimination.",Comedy Drama
96,96,2009,"Through dialogues with the owners of penthouses in Rio de Janeiro, São Paulo and Recife, High-Rise explores the social and cultural mindset of the elite, and the phenomenon of the 'verticalisation' of the Brazilian cityscape. This is a film about height, status and power.",Documentary
97,97,1951,"Now old, ill, poor, and largely forgotten, William Freise-Greene was once very different. As young and handsome William Green he changed his name to include his first wife's so that it sounded more impressive for the photographic portrait work he was so good at. But he was also an inventor and his search for a way to project moving pictures became an obsession that ultimately changed the life of all those he loved.",Drama
98,98,1988,A comedy about a postal worker Samson who suddenly discovered his talent for basketball.,Comedy
99,99,2015,"Facing goodbyes and graduation, Naomi Nakashima, her childhood friend Satoshi Mochida, and their classmates, are clearing up after their last ever cultural festival, when horror buff class representative Ayumi Shinozaki decides to perform Sachiko Ever After so they will stay friends forever. Instead, they were whisked away to a haunted graduation ceremony for Heavenly Host Elementary School, forced to close after a series of gruesome murders. What fate awaits Naomi and her friends at the cursed school...?",Horror
